Comment,Designator,Footprint,LCSC
1k,"R1,R5",R_0402_1005Metric,C11702
"2.2uF,6.3V,X5R ",C18,C_0402_1005Metric,C12530
"100nF,16V,X7R ","C10,C11,C12,C13,C14,C2,C4,C7,C8,C9",C_0402_1005Metric,C1525
"10uF,6.3V,X5R ","C16,C17",C_0402_1005Metric,C15525
"27pF,50V,C0G ","C1,C3",C_0402_1005Metric,C1557
RP2040,U1,LQFN-56_L7.0-W7.0-P0.4-EP,C2040
TPS613222ADBVR,U4,TSOT-23-5_L2.9-W1.6-P0.95-LS2.8-BR,C2071163
"4.7uF,10V,X5R ",C15,C_0402_1005Metric,C23733
27,"R3,R4",R_0402_1005Metric,C25100
47,"R10,R11,R8,R9",R_0402_1005Metric,C25118
10k,"R12,R2,R6,R7",R_0402_1005Metric,C25744
W25Q16JVUXIQ,U2,USON-8_L3.0-W2.0-P0.50-BL-EP,C2843335
EVPAWED40,SW1,KEY-SMD_L3.0-W2.0-LS3.5,C2858607
SK9822-EC20,LED1,LED-SMD_6P-L2.0-W2.0-P0.80-TL,C2909059
SPS20162R2MPCA,L1,IND-SMD_L2.0-W1.6,C359305
SMD-3225_4P_12.000MHZ_9PF,X1,OSC-SMD_4P-L3.2-W2.5-BL,C362368
"1uF,25V,X5R ","C5,C6",C_0402_1005Metric,C52923
RS0102YH8,U3,SOT-23-8_L3.0-W1.7-P0.65-LS2.8-BL,C783414
