Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,"27pF,50V,C0G ",C_0402_1005Metric,2.765,-10.555,0.0,top
C2,"100nF,16V,X7R ",C_0402_1005Metric,18.815,-8.63,0.0,top
C3,"27pF,50V,C0G ",C_0402_1005Metric,2.75,-5.475,0.0,top
C4,"100nF,16V,X7R ",C_0402_1005Metric,7.135,-9.49,-90.0,top
C5,"1uF,25V,X5R ",C_0402_1005Metric,16.565,-11.545,0.0,top
C6,"1uF,25V,X5R ",C_0402_1005Metric,15.94,-12.5725,180.0,top
C7,"100nF,16V,X7R ",C_0402_1005Metric,11.16,-13.515,-90.0,top
C8,"100nF,16V,X7R ",C_0402_1005Metric,20.505,-14.65,90.0,top
C9,"100nF,16V,X7R ",C_0402_1005Metric,15.94,-13.64,0.0,top
C10,"100nF,16V,X7R ",C_0402_1005Metric,18.815,-9.695,0.0,top
C11,"100nF,16V,X7R ",C_0402_1005Metric,15.79,-3.31,0.0,top
C12,"100nF,16V,X7R ",C_0402_1005Metric,13.025,-3.315,0.0,top
C13,"100nF,16V,X7R ",C_0402_1005Metric,6.13,-10.09,-90.0,top
C14,"100nF,16V,X7R ",C_0402_1005Metric,20.785,-7.555,-90.0,top
R1,1k,R_0402_1005Metric,5.11,-8.79,90.0,top
R2,10k,R_0402_1005Metric,7.51,-12.065,90.0,top
R3,27,R_0402_1005Metric,18.285,-15.62,-90.0,top
R4,27,R_0402_1005Metric,17.24,-15.615,-90.0,top
R5,1k,R_0402_1005Metric,20.785,-3.605,-90.0,top
R6,10k,R_0402_1005Metric,20.785,-5.59,90.0,top
R7,10k,R_0402_1005Metric,20.570001,-13.1,0.0,top
R8,10k,R_0402_1005Metric,19.25,-11.245,90.0,top
R9,10k,R_0402_1005Metric,1.5,-11.625,180.0,top
R12,10k,R_0402_1005Metric,1.27,-3.955,-90.0,top
R13,10k,R_0402_1005Metric,19.44,-14.645,-90.0,top
R14,10k,R_0402_1005Metric,22.490001,-14.68,0.0,top
R15,10k,R_0402_1005Metric,14.065,-17.945,180.0,top
R16,10k,R_0402_1005Metric,16.07,-17.935,180.0,top
SW1,EVPAWED40,KEY-SMD_L3.0-W2.0-LS3.5,18.495,-1.67,180.0,top
U1,RP2040,LQFN-56_L7.0-W7.0-P0.4-EP,11.895,-8.205,-90.0,top
U2,W25Q16JVUXIQ,USON-8_L3.0-W2.0-P0.50-BL-EP,18.615,-5.6925,180.0,top
U3,RT9078-25GJ5,TSOT-23-5_L2.9-W1.6-P0.95-LS2.8-BL,11.455,-16.595,180.0,top
U4,RT9080-33GJ5,TSOT-23-5_L2.9-W1.6-P0.95-LS2.8-BL,21.4645,-10.32025,0.0,top
U5,RS2227XUTQK10,WQFN-10_L1.8-W1.4-P0.40-BL,19.895,-16.935,-90.0,top
U6,SN74CBTLV3125RGYR,VQFN-14_L3.5-W3.5-P0.50-BL-EP,6.28,-15.4,-90.0,top
U7,XL-1010RGBC-WS2812B,LED-SMD_4P-L1.0-W1.0-TL_XL-1010RGBC-WS2812B,4.2075,-11.97,0.0,top
U8,"74LVC1GU04GV,125",SC-74A-5_L2.9-W1.6-P0.95-LS2.8-BL,14.965,-15.79,-90.0,top
X1,SMD-3225_4P_12.000MHZ_9PF,OSC-SMD_4P-L3.2-W2.5-BL,2.755,-8.02,90.0,top
