Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,"27pF,50V,C0G ",C_0402_1005Metric,2.31,-7.92,0.0,top
C2,"100nF,16V,X7R ",C_0402_1005Metric,8.9,-6.88,0.0,bottom
C3,"27pF,50V,C0G ",C_0402_1005Metric,2.33,-2.85,0.0,top
C4,"100nF,16V,X7R ",C_0402_1005Metric,5.57,-7.6,270.0,bottom
C5,"1uF,25V,X5R ",C_0402_1005Metric,12.84,-5.98,90.0,bottom
C6,"1uF,25V,X5R ",C_0402_1005Metric,13.88,-9.91,0.0,bottom
C7,"100nF,16V,X7R ",C_0402_1005Metric,5.57,-5.605,90.0,bottom
C8,"100nF,16V,X7R ",C_0402_1005Metric,12.84,-7.915,90.0,bottom
C9,"100nF,16V,X7R ",C_0402_1005Metric,11.81,-2.12,270.0,bottom
C10,"100nF,16V,X7R ",C_0402_1005Metric,12.84,-4.045,90.0,bottom
C11,"100nF,16V,X7R ",C_0402_1005Metric,12.84,-2.11,270.0,bottom
C12,"100nF,16V,X7R ",C_0402_1005Metric,10.31,-1.68,180.0,bottom
C13,"100nF,16V,X7R ",C_0402_1005Metric,5.57,-3.61,270.0,bottom
C14,"100nF,16V,X7R ",C_0402_1005Metric,7.84,-5.33,90.0,bottom
R1,1k,R_0402_1005Metric,4.5,-6.29,90.0,top
R2,10k,R_0402_1005Metric,6.68,-9.42,90.0,bottom
R5,1k,R_0402_1005Metric,7.09,-1.965,270.0,bottom
R6,10k,R_0402_1005Metric,8.115,-1.965,270.0,bottom
R8,47,R_0402_1005Metric,8.44,-9.41,270.0,bottom
R9,47,R_0402_1005Metric,9.57,-9.41,270.0,bottom
R10,47,R_0402_1005Metric,10.68,-9.41,270.0,bottom
R11,47,R_0402_1005Metric,11.81,-9.41,270.0,bottom
R12,10k,R_0402_1005Metric,6.45,-0.97,0.0,top
SW1,EVPAWED40,KEY-SMD_L3.0-W2.0-LS3.5,4.37,-1.455,0.0,bottom
U1,RP2040,LQFN-56_L7.0-W7.0-P0.4-EP,9.205,-5.705,-90.0,top
U2,W25Q16JVUXIQ,USON-8_L3.0-W2.0-P0.50-BL-EP,9.79,-4.368,180.0,bottom
U5,XL-1010RGBC-WS2812B,LED-SMD_4P-L1.0-W1.0-TL_XL-1010RGBC-WS2812B,2.33,-8.92,270.0,bottom
X1,SMD-3225_4P_12.000MHZ_9PF,OSC-SMD_4P-L3.2-W2.5-BL,2.297,-5.383,90.0,top
