Designator,Mid X,Mid Y,Layer,Rotation
C1,44.81,-30.92,T,0.00
C1,14.81,-42.92,T,0.00
C1,44.81,-42.92,T,0.00
C1,14.81,-54.92,T,0.00
C1,29.81,-54.92,T,0.00
C1,29.81,-18.92,T,0.00
C1,29.81,-42.92,T,0.00
C1,44.81,-54.92,T,0.00
C1,14.81,-18.92,T,0.00
C1,29.81,-30.92,T,0.00
C1,14.81,-30.92,T,0.00
C1,44.81,-18.92,T,0.00
C2,36.40,-41.88,B,180.00
C2,21.40,-53.88,B,180.00
C2,21.40,-29.88,B,180.00
C2,51.40,-41.88,B,180.00
C2,36.40,-29.88,B,180.00
C2,51.40,-17.88,B,180.00
C2,21.40,-41.88,B,180.00
C2,36.40,-53.88,B,180.00
C2,21.40,-17.88,B,180.00
C2,36.40,-17.88,B,180.00
C2,51.40,-29.88,B,180.00
C2,51.40,-53.88,B,180.00
C3,44.83,-37.85,T,0.00
C3,14.83,-25.85,T,0.00
C3,29.83,-49.85,T,0.00
C3,44.83,-49.85,T,0.00
C3,44.83,-25.85,T,0.00
C3,29.83,-25.85,T,0.00
C3,14.83,-49.85,T,0.00
C3,29.83,-13.85,T,0.00
C3,29.83,-37.85,T,0.00
C3,44.83,-13.85,T,0.00
C3,14.83,-37.85,T,0.00
C3,14.83,-13.85,T,0.00
C4,33.07,-42.60,B,270.00
C4,33.07,-30.60,B,270.00
C4,18.07,-30.60,B,270.00
C4,18.07,-18.60,B,270.00
C4,33.07,-18.60,B,270.00
C4,48.07,-18.60,B,270.00
C4,48.07,-54.60,B,270.00
C4,48.07,-30.60,B,270.00
C4,48.07,-42.60,B,270.00
C4,33.07,-54.60,B,270.00
C4,18.07,-54.60,B,270.00
C4,18.07,-42.60,B,270.00
C5,55.34,-28.98,B,90.00
C5,40.34,-16.98,B,90.00
C5,55.34,-40.98,B,90.00
C5,40.34,-40.98,B,90.00
C5,25.34,-16.98,B,90.00
C5,55.34,-16.98,B,90.00
C5,55.34,-52.98,B,90.00
C5,40.34,-52.98,B,90.00
C5,40.34,-28.98,B,90.00
C5,25.34,-28.98,B,90.00
C5,25.34,-52.98,B,90.00
C5,25.34,-40.98,B,90.00
C6,56.38,-56.85,B,180.00
C6,56.38,-20.85,B,180.00
C6,26.38,-20.85,B,180.00
C6,41.38,-56.85,B,180.00
C6,41.38,-44.85,B,180.00
C6,41.38,-32.85,B,180.00
C6,56.38,-32.85,B,180.00
C6,26.38,-56.85,B,180.00
C6,56.38,-44.85,B,180.00
C6,26.38,-44.85,B,180.00
C6,26.38,-32.85,B,180.00
C6,41.38,-20.85,B,180.00
C7,48.07,-40.60,B,90.00
C7,33.07,-16.61,B,90.00
C7,33.07,-28.61,B,90.00
C7,18.07,-16.61,B,90.00
C7,48.07,-28.61,B,90.00
C7,48.07,-52.60,B,90.00
C7,33.07,-52.60,B,90.00
C7,18.07,-28.61,B,90.00
C7,33.07,-40.60,B,90.00
C7,48.07,-16.61,B,90.00
C7,18.07,-40.60,B,90.00
C7,18.07,-52.60,B,90.00
C8,55.34,-30.91,B,90.00
C8,55.34,-54.91,B,90.00
C8,55.34,-42.91,B,90.00
C8,25.34,-54.91,B,90.00
C8,55.34,-18.91,B,90.00
C8,40.34,-30.91,B,90.00
C8,25.34,-42.91,B,90.00
C8,40.34,-54.91,B,90.00
C8,40.34,-42.91,B,90.00
C8,25.34,-18.91,B,90.00
C8,25.34,-30.91,B,90.00
C8,40.34,-18.91,B,90.00
C9,54.31,-13.12,B,270.00
C9,24.31,-49.12,B,270.00
C9,24.31,-37.12,B,270.00
C9,39.31,-13.12,B,270.00
C9,54.31,-25.12,B,270.00
C9,39.31,-37.12,B,270.00
C9,39.31,-49.12,B,270.00
C9,24.31,-25.12,B,270.00
C9,24.31,-13.12,B,270.00
C9,54.31,-49.12,B,270.00
C9,39.31,-25.12,B,270.00
C9,54.31,-37.12,B,270.00
C10,40.34,-39.05,B,90.00
C10,25.34,-27.05,B,90.00
C10,40.34,-15.04,B,90.00
C10,55.34,-27.05,B,90.00
C10,55.34,-15.04,B,90.00
C10,55.34,-39.05,B,90.00
C10,25.34,-51.05,B,90.00
C10,25.34,-39.05,B,90.00
C10,40.34,-51.05,B,90.00
C10,55.34,-51.05,B,90.00
C10,40.34,-27.05,B,90.00
C10,25.34,-15.04,B,90.00
C11,55.34,-25.11,B,270.00
C11,55.34,-49.11,B,270.00
C11,25.34,-13.11,B,270.00
C11,55.34,-13.11,B,270.00
C11,25.34,-37.11,B,270.00
C11,40.34,-13.11,B,270.00
C11,25.34,-49.11,B,270.00
C11,40.34,-37.11,B,270.00
C11,55.34,-37.11,B,270.00
C11,40.34,-49.11,B,270.00
C11,25.34,-25.11,B,270.00
C11,40.34,-25.11,B,270.00
C12,22.81,-24.68,B,0.00
C12,52.81,-36.68,B,0.00
C12,22.81,-48.68,B,0.00
C12,37.81,-36.68,B,0.00
C12,52.81,-24.68,B,0.00
C12,37.81,-12.68,B,0.00
C12,52.81,-12.68,B,0.00
C12,22.81,-36.68,B,0.00
C12,52.81,-48.68,B,0.00
C12,37.81,-48.68,B,0.00
C12,37.81,-24.68,B,0.00
C12,22.81,-12.68,B,0.00
C13,48.07,-26.61,B,270.00
C13,18.07,-14.61,B,270.00
C13,18.07,-26.61,B,270.00
C13,48.07,-14.61,B,270.00
C13,48.07,-38.61,B,270.00
C13,33.07,-50.61,B,270.00
C13,18.07,-38.61,B,270.00
C13,33.07,-26.61,B,270.00
C13,33.07,-38.61,B,270.00
C13,33.07,-14.61,B,270.00
C13,18.07,-50.61,B,270.00
C13,48.07,-50.61,B,270.00
C14,20.34,-40.33,B,90.00
C14,50.34,-16.33,B,90.00
C14,20.34,-52.33,B,90.00
C14,20.34,-28.33,B,90.00
C14,35.34,-28.33,B,90.00
C14,20.34,-16.33,B,90.00
C14,35.34,-40.33,B,90.00
C14,50.34,-52.33,B,90.00
C14,50.34,-28.33,B,90.00
C14,50.34,-40.33,B,90.00
C14,35.34,-52.33,B,90.00
C14,35.34,-16.33,B,90.00
R1,32.00,-53.29,T,90.00
R1,32.00,-17.29,T,90.00
R1,17.00,-53.29,T,90.00
R1,17.00,-29.29,T,90.00
R1,32.00,-41.29,T,90.00
R1,47.00,-53.29,T,90.00
R1,47.00,-41.29,T,90.00
R1,47.00,-17.29,T,90.00
R1,17.00,-41.29,T,90.00
R1,17.00,-17.29,T,90.00
R1,47.00,-29.29,T,90.00
R1,32.00,-29.29,T,90.00
R2,49.18,-20.35,B,90.00
R2,49.18,-56.35,B,90.00
R2,19.18,-20.35,B,90.00
R2,34.18,-32.35,B,90.00
R2,34.18,-20.35,B,90.00
R2,34.18,-56.35,B,90.00
R2,49.18,-32.35,B,90.00
R2,49.18,-44.35,B,90.00
R2,19.18,-44.35,B,90.00
R2,19.18,-32.35,B,90.00
R2,19.18,-56.35,B,90.00
R2,34.18,-44.35,B,90.00
R5,49.59,-36.97,B,270.00
R5,49.59,-24.96,B,270.00
R5,19.59,-48.97,B,270.00
R5,49.59,-48.97,B,270.00
R5,19.59,-24.96,B,270.00
R5,34.59,-12.96,B,270.00
R5,49.59,-12.96,B,270.00
R5,34.59,-36.97,B,270.00
R5,34.59,-48.97,B,270.00
R5,19.59,-12.96,B,270.00
R5,34.59,-24.96,B,270.00
R5,19.59,-36.97,B,270.00
R6,20.61,-36.97,B,270.00
R6,20.61,-12.96,B,270.00
R6,35.62,-12.96,B,270.00
R6,50.62,-12.96,B,270.00
R6,50.62,-36.97,B,270.00
R6,20.61,-48.97,B,270.00
R6,35.62,-48.97,B,270.00
R6,50.62,-24.96,B,270.00
R6,50.62,-48.97,B,270.00
R6,35.62,-36.97,B,270.00
R6,20.61,-24.96,B,270.00
R6,35.62,-24.96,B,270.00
R8,50.94,-44.34,B,270.00
R8,50.94,-20.34,B,270.00
R8,20.94,-20.34,B,270.00
R8,35.94,-32.34,B,270.00
R8,50.94,-56.34,B,270.00
R8,35.94,-20.34,B,270.00
R8,20.94,-32.34,B,270.00
R8,20.94,-56.34,B,270.00
R8,35.94,-56.34,B,270.00
R8,50.94,-32.34,B,270.00
R8,20.94,-44.34,B,270.00
R8,35.94,-44.34,B,270.00
R9,52.07,-56.34,B,270.00
R9,37.07,-32.34,B,270.00
R9,37.07,-44.34,B,270.00
R9,37.07,-56.34,B,270.00
R9,52.07,-44.34,B,270.00
R9,52.07,-20.34,B,270.00
R9,52.07,-32.34,B,270.00
R9,37.07,-20.34,B,270.00
R9,22.07,-56.34,B,270.00
R9,22.07,-32.34,B,270.00
R9,22.07,-20.34,B,270.00
R9,22.07,-44.34,B,270.00
R10,53.18,-56.34,B,270.00
R10,53.18,-20.34,B,270.00
R10,38.18,-32.34,B,270.00
R10,38.18,-20.34,B,270.00
R10,23.18,-44.34,B,270.00
R10,23.18,-20.34,B,270.00
R10,23.18,-32.34,B,270.00
R10,53.18,-32.34,B,270.00
R10,53.18,-44.34,B,270.00
R10,23.18,-56.34,B,270.00
R10,38.18,-56.34,B,270.00
R10,38.18,-44.34,B,270.00
R11,54.31,-32.34,B,270.00
R11,39.31,-56.34,B,270.00
R11,24.31,-44.34,B,270.00
R11,39.31,-32.34,B,270.00
R11,24.31,-56.34,B,270.00
R11,24.31,-20.34,B,270.00
R11,39.31,-44.34,B,270.00
R11,54.31,-20.34,B,270.00
R11,54.31,-56.34,B,270.00
R11,39.31,-20.34,B,270.00
R11,24.31,-32.34,B,270.00
R11,54.31,-44.34,B,270.00
R12,48.95,-23.97,T,0.00
R12,18.95,-23.97,T,0.00
R12,48.95,-11.97,T,0.00
R12,48.95,-35.97,T,0.00
R12,33.95,-23.97,T,0.00
R12,18.95,-47.97,T,0.00
R12,33.95,-11.97,T,0.00
R12,33.95,-47.97,T,0.00
R12,18.95,-35.97,T,0.00
R12,18.95,-11.97,T,0.00
R12,48.95,-47.97,T,0.00
R12,33.95,-35.97,T,0.00
SW1,16.87,-48.45,B,180.00
