Designator,Mid X,Mid Y,Layer,Rotation
J7,0.82,-72.53,T,0.00
J7,0.82,-64.53,T,0.00
J7,0.82,-88.53,T,0.00
J7,0.82,-204.53,T,0.00
J7,0.82,-148.53,T,0.00
J7,0.82,-92.53,T,0.00
J7,0.82,-144.53,T,0.00
J7,0.82,-56.53,T,0.00
J7,0.82,-168.53,T,0.00
J7,0.82,-44.53,T,0.00
J7,0.82,-52.53,T,0.00
J7,0.82,-184.53,T,0.00
J7,0.82,-60.53,T,0.00
J7,0.82,-68.53,T,0.00
J7,0.82,-100.53,T,0.00
J7,0.82,-156.53,T,0.00
J7,0.82,-200.53,T,0.00
J7,0.82,-16.53,T,0.00
J7,0.82,-124.53,T,0.00
J7,0.82,-48.53,T,0.00
J7,0.82,-196.53,T,0.00
J7,0.82,-140.53,T,0.00
J7,0.82,-84.53,T,0.00
J7,0.82,-80.53,T,0.00
J7,0.82,-112.53,T,0.00
J7,0.82,-172.53,T,0.00
J7,0.82,-132.53,T,0.00
J7,0.82,-104.53,T,0.00
J7,0.82,-152.53,T,0.00
J7,0.82,-176.53,T,0.00
J7,0.82,-116.53,T,0.00
J7,0.82,-136.53,T,0.00
J7,0.82,-160.53,T,0.00
J7,0.82,-12.53,T,0.00
J7,0.82,-76.53,T,0.00
J7,0.82,-20.53,T,0.00
J7,0.82,-32.53,T,0.00
J7,0.82,-180.53,T,0.00
J7,0.82,-8.53,T,0.00
J7,0.82,-24.53,T,0.00
J7,0.82,-192.53,T,0.00
J7,0.82,-120.53,T,0.00
J7,0.82,-96.53,T,0.00
J7,0.82,-188.53,T,0.00
J7,0.82,-108.53,T,0.00
J7,0.82,-128.53,T,0.00
J7,0.82,-28.53,T,0.00
J7,0.82,-164.53,T,0.00
J7,0.82,-36.53,T,0.00
J7,0.82,-40.53,T,0.00
J8,0.82,-145.88,T,0.00
J8,0.82,-17.88,T,0.00
J8,0.82,-165.88,T,0.00
J8,0.82,-65.88,T,0.00
J8,0.82,-189.88,T,0.00
J8,0.82,-9.88,T,0.00
J8,0.82,-77.88,T,0.00
J8,0.82,-169.88,T,0.00
J8,0.82,-161.88,T,0.00
J8,0.82,-177.88,T,0.00
J8,0.82,-45.88,T,0.00
J8,0.82,-53.88,T,0.00
J8,0.82,-173.88,T,0.00
J8,0.82,-13.88,T,0.00
J8,0.82,-137.88,T,0.00
J8,0.82,-21.88,T,0.00
J8,0.82,-33.88,T,0.00
J8,0.82,-29.88,T,0.00
J8,0.82,-129.88,T,0.00
J8,0.82,-89.88,T,0.00
J8,0.82,-197.88,T,0.00
J8,0.82,-61.88,T,0.00
J8,0.82,-193.88,T,0.00
J8,0.82,-97.88,T,0.00
J8,0.82,-85.88,T,0.00
J8,0.82,-117.88,T,0.00
J8,0.82,-93.88,T,0.00
J8,0.82,-81.88,T,0.00
J8,0.82,-121.88,T,0.00
J8,0.82,-49.88,T,0.00
J8,0.82,-101.88,T,0.00
J8,0.82,-37.88,T,0.00
J8,0.82,-109.88,T,0.00
J8,0.82,-41.88,T,0.00
J8,0.82,-133.88,T,0.00
J8,0.82,-5.88,T,0.00
J8,0.82,-149.88,T,0.00
J8,0.82,-105.88,T,0.00
J8,0.82,-201.88,T,0.00
J8,0.82,-125.88,T,0.00
J8,0.82,-25.88,T,0.00
J8,0.82,-113.88,T,0.00
J8,0.82,-69.88,T,0.00
J8,0.82,-57.88,T,0.00
J8,0.82,-153.88,T,0.00
J8,0.82,-141.88,T,0.00
J8,0.82,-157.88,T,0.00
J8,0.82,-185.88,T,0.00
J8,0.82,-73.88,T,0.00
J8,0.82,-181.88,T,0.00
J9,0.82,-143.21,T,0.00
J9,0.82,-155.21,T,0.00
J9,0.82,-87.20,T,0.00
J9,0.82,-187.21,T,0.00
J9,0.82,-123.20,T,0.00
J9,0.82,-83.20,T,0.00
J9,0.82,-131.21,T,0.00
J9,0.82,-203.21,T,0.00
J9,0.82,-35.20,T,0.00
J9,0.82,-55.20,T,0.00
J9,0.82,-67.20,T,0.00
J9,0.82,-107.20,T,0.00
J9,0.82,-27.20,T,0.00
J9,0.82,-147.21,T,0.00
J9,0.82,-59.20,T,0.00
J9,0.82,-167.21,T,0.00
J9,0.82,-63.20,T,0.00
J9,0.82,-171.21,T,0.00
J9,0.82,-151.21,T,0.00
J9,0.82,-31.20,T,0.00
J9,0.82,-199.21,T,0.00
