Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,"27pF,50V,C0G ",C_0402_1005Metric,2.29,-8.13,0.0,top
C2,"100nF,16V,X7R ",C_0402_1005Metric,15.98,-6.34,0.0,top
C3,"27pF,50V,C0G ",C_0402_1005Metric,2.31,-3.06,0.0,top
C4,"100nF,16V,X7R ",C_0402_1005Metric,3.35,-9.66,-90.0,top
C5,"1uF,25V,X5R ",C_0402_1005Metric,14.405,-9.1,0.0,top
C6,"1uF,25V,X5R ",C_0402_1005Metric,14.405,-10.1675,180.0,top
C7,"100nF,16V,X7R ",C_0402_1005Metric,7.23,-10.67,180.0,top
C8,"100nF,16V,X7R ",C_0402_1005Metric,14.41,-12.32,0.0,top
C9,"100nF,16V,X7R ",C_0402_1005Metric,14.405,-11.235,0.0,top
C10,"100nF,16V,X7R ",C_0402_1005Metric,15.98,-7.4,0.0,top
C11,"100nF,16V,X7R ",C_0402_1005Metric,13.08,-1.02,0.0,top
C12,"100nF,16V,X7R ",C_0402_1005Metric,10.315,-1.025,0.0,top
C13,"100nF,16V,X7R ",C_0402_1005Metric,2.22,-9.665,-90.0,top
C14,"100nF,16V,X7R ",C_0402_1005Metric,17.78,-5.42,-90.0,top
R1,1k,R_0402_1005Metric,4.48,-6.5,90.0,top
R2,10k,R_0402_1005Metric,4.51,-9.76,90.0,top
R3,10k,R_0402_1005Metric,8.725,-11.18,-90.0,top
R5,1k,R_0402_1005Metric,17.78,-1.47,-90.0,top
R6,10k,R_0402_1005Metric,17.78,-3.455,90.0,top
R9,47,R_0402_1005Metric,10.25,-11.78,-90.0,top
R10,47,R_0402_1005Metric,11.53,-11.78,-90.0,top
R11,47,R_0402_1005Metric,12.81,-11.78,-90.0,top
R12,10k,R_0402_1005Metric,6.43,-1.04,0.0,top
SW1,EVPAWED40,KEY-SMD_L3.0-W2.0-LS3.5,2.79,-11.86,0.0,top
U1,RP2040,LQFN-56_L7.0-W7.0-P0.4-EP,9.185,-5.915,-90.0,top
U2,W25Q16JVUXIQ,USON-8_L3.0-W2.0-P0.50-BL-EP,15.905,-3.4025,180.0,top
U5,XL-1010RGBC-WS2812B,LED-SMD_4P-L1.0-W1.0-TL_XL-1010RGBC-WS2812B,1.495,-14.11,0.0,top
X1,SMD-3225_4P_12.000MHZ_9PF,OSC-SMD_4P-L3.2-W2.5-BL,2.277,-5.593,90.0,top
