Designator,Mid X,Mid Y,Layer,Rotation
C1,27.80,-27.57,T,0.00
C1,27.80,-43.13,T,0.00
C2,41.49,-25.78,T,0.00
C2,41.49,-41.34,T,0.00
C3,27.82,-38.06,T,0.00
C3,27.82,-22.50,T,0.00
C4,28.86,-44.66,T,270.00
C4,28.86,-29.10,T,270.00
C5,39.92,-28.54,T,0.00
C5,39.92,-44.10,T,0.00
C6,39.92,-29.61,T,180.00
C6,39.92,-45.17,T,180.00
C7,32.74,-30.11,T,180.00
C7,32.74,-45.67,T,180.00
C8,39.92,-31.76,T,0.00
C8,39.92,-47.32,T,0.00
C9,39.92,-30.68,T,0.00
C9,39.92,-46.23,T,0.00
C10,41.49,-42.40,T,0.00
C10,41.49,-26.84,T,0.00
C11,38.59,-36.02,T,0.00
C11,38.59,-20.46,T,0.00
C12,35.83,-20.46,T,0.00
C12,35.83,-36.02,T,0.00
C13,27.73,-44.66,T,270.00
C13,27.73,-29.11,T,270.00
C14,43.30,-24.86,T,270.00
C14,43.30,-40.42,T,270.00
R1,30.00,-25.94,T,90.00
R1,30.00,-41.50,T,90.00
R2,30.02,-44.76,T,90.00
R2,30.02,-29.20,T,90.00
R5,43.30,-20.91,T,270.00
R5,43.30,-36.47,T,270.00
R6,43.30,-22.89,T,90.00
R6,43.30,-38.45,T,90.00
R8,34.48,-31.22,T,270.00
R8,34.48,-46.78,T,270.00
R9,35.77,-46.78,T,270.00
R9,35.77,-31.22,T,270.00
R10,37.05,-31.22,T,270.00
R10,37.05,-46.78,T,270.00
R11,38.33,-31.22,T,270.00
R11,38.33,-46.78,T,270.00
R12,31.95,-36.04,T,0.00
R12,31.95,-20.48,T,0.00
SW1,28.30,-46.86,T,0.00
SW1,28.30,-31.30,T,0.00
U1,34.70,-25.36,T,270.00
U1,34.70,-40.91,T,270.00
U2,41.42,-22.84,T,180.00
U2,41.42,-38.40,T,180.00
U5,26.86,-49.28,T,0.00
U5,26.86,-33.72,T,0.00
X1,27.79,-25.03,T,90.00
X1,27.79,-40.59,T,90.00
