Designator,Mid X,Mid Y,Layer,Rotation
C1,28.09,-35.35,T,0.00
C1,7.49,-50.91,T,0.00
C1,48.69,-50.91,T,0.00
C1,48.69,-19.79,T,0.00
C1,7.49,-19.79,T,0.00
C1,28.09,-50.91,T,0.00
C1,7.49,-35.35,T,0.00
C1,48.69,-35.35,T,0.00
C1,28.09,-19.79,T,0.00
C2,62.38,-18.00,T,0.00
C2,62.38,-33.56,T,0.00
C2,62.38,-49.12,T,0.00
C2,21.18,-18.00,T,0.00
C2,41.78,-18.00,T,0.00
C2,21.18,-33.56,T,0.00
C2,41.78,-33.56,T,0.00
C2,21.18,-49.12,T,0.00
C2,41.78,-49.12,T,0.00
C3,7.51,-30.28,T,0.00
C3,7.51,-14.72,T,0.00
C3,28.11,-30.28,T,0.00
C3,7.51,-45.84,T,0.00
C3,48.71,-14.72,T,0.00
C3,48.71,-30.28,T,0.00
C3,28.11,-14.72,T,0.00
C3,28.11,-45.84,T,0.00
C3,48.71,-45.84,T,0.00
C4,49.75,-36.88,T,270.00
C4,8.55,-21.32,T,270.00
C4,8.55,-36.88,T,270.00
C4,49.75,-52.44,T,270.00
C4,49.75,-21.32,T,270.00
C4,29.15,-36.88,T,270.00
C4,29.15,-21.32,T,270.00
C4,29.15,-52.44,T,270.00
C4,8.55,-52.44,T,270.00
C5,19.61,-20.76,T,0.00
C5,19.61,-36.32,T,0.00
C5,40.20,-51.88,T,0.00
C5,60.80,-20.76,T,0.00
C5,40.20,-20.76,T,0.00
C5,60.80,-51.88,T,0.00
C5,60.80,-36.32,T,0.00
C5,19.61,-51.88,T,0.00
C5,40.20,-36.32,T,0.00
C6,19.61,-37.39,T,180.00
C6,60.80,-52.95,T,180.00
C6,19.61,-52.95,T,180.00
C6,60.80,-37.39,T,180.00
C6,60.80,-21.83,T,180.00
C6,19.61,-21.83,T,180.00
C6,40.20,-52.95,T,180.00
C6,40.20,-37.39,T,180.00
C6,40.20,-21.83,T,180.00
C7,53.63,-53.45,T,180.00
C7,12.43,-37.89,T,180.00
C7,33.03,-22.33,T,180.00
C7,12.43,-53.45,T,180.00
C7,53.63,-37.89,T,180.00
C7,33.03,-53.45,T,180.00
C7,12.43,-22.33,T,180.00
C7,53.63,-22.33,T,180.00
C7,33.03,-37.89,T,180.00
C8,19.61,-55.10,T,0.00
C8,40.21,-23.98,T,0.00
C8,60.81,-55.10,T,0.00
C8,60.81,-23.98,T,0.00
C8,19.61,-23.98,T,0.00
C8,40.21,-39.54,T,0.00
C8,40.21,-55.10,T,0.00
C8,19.61,-39.54,T,0.00
C8,60.81,-39.54,T,0.00
C9,40.20,-38.45,T,0.00
C9,19.61,-22.89,T,0.00
C9,19.61,-54.02,T,0.00
C9,60.80,-54.02,T,0.00
C9,40.20,-54.02,T,0.00
C9,60.80,-22.89,T,0.00
C9,60.80,-38.45,T,0.00
C9,19.61,-38.45,T,0.00
C9,40.20,-22.89,T,0.00
C10,62.38,-50.18,T,0.00
C10,21.18,-34.62,T,0.00
C10,41.78,-19.06,T,0.00
C10,21.18,-19.06,T,0.00
C10,41.78,-50.18,T,0.00
C10,21.18,-50.18,T,0.00
C10,41.78,-34.62,T,0.00
C10,62.38,-19.06,T,0.00
C10,62.38,-34.62,T,0.00
C11,38.88,-12.68,T,0.00
C11,18.28,-28.24,T,0.00
C11,59.48,-12.68,T,0.00
C11,18.28,-43.80,T,0.00
C11,38.88,-28.24,T,0.00
C11,59.48,-28.24,T,0.00
C11,59.48,-43.80,T,0.00
C11,38.88,-43.80,T,0.00
C11,18.28,-12.68,T,0.00
C12,35.38,-12.69,T,0.00
C12,14.78,-12.69,T,0.00
C12,35.38,-43.80,T,0.00
C12,14.78,-43.80,T,0.00
C12,55.98,-43.80,T,0.00
C12,35.38,-28.25,T,0.00
C12,55.98,-12.69,T,0.00
C12,14.78,-28.25,T,0.00
C12,55.98,-28.25,T,0.00
C13,28.02,-52.45,T,270.00
C13,28.02,-21.32,T,270.00
C13,48.62,-21.32,T,270.00
C13,7.42,-36.88,T,270.00
C13,7.42,-52.45,T,270.00
C13,7.42,-21.32,T,270.00
C13,48.62,-36.88,T,270.00
C13,28.02,-36.88,T,270.00
C13,48.62,-52.45,T,270.00
C14,43.58,-48.20,T,270.00
C14,64.18,-32.64,T,270.00
C14,22.98,-17.08,T,270.00
C14,64.18,-17.08,T,270.00
C14,64.18,-48.20,T,270.00
C14,43.58,-32.64,T,270.00
C14,22.98,-32.64,T,270.00
C14,43.58,-17.08,T,270.00
C14,22.98,-48.20,T,270.00
R1,50.88,-18.16,T,90.00
R1,9.68,-33.72,T,90.00
R1,50.88,-49.28,T,90.00
R1,50.88,-33.72,T,90.00
R1,30.28,-18.16,T,90.00
R1,9.68,-18.16,T,90.00
R1,30.28,-49.28,T,90.00
R1,9.68,-49.28,T,90.00
R1,30.28,-33.72,T,90.00
R2,30.31,-21.42,T,90.00
R2,50.91,-52.54,T,90.00
R2,9.71,-36.98,T,90.00
R2,9.71,-52.54,T,90.00
R2,50.91,-21.42,T,90.00
R2,30.31,-52.54,T,90.00
R2,30.31,-36.98,T,90.00
R2,9.71,-21.42,T,90.00
R2,50.91,-36.98,T,90.00
R3,13.93,-53.96,T,270.00
R3,34.52,-38.40,T,270.00
R3,13.93,-22.84,T,270.00
R3,34.52,-22.84,T,270.00
R3,55.12,-38.40,T,270.00
R3,55.12,-53.96,T,270.00
R3,34.52,-53.96,T,270.00
R3,13.93,-38.40,T,270.00
R3,55.12,-22.84,T,270.00
R4,22.63,-37.88,T,180.00
R4,22.63,-22.32,T,180.00
R4,43.23,-53.44,T,180.00
R4,63.83,-53.44,T,180.00
R4,43.23,-37.88,T,180.00
R4,63.83,-37.88,T,180.00
R4,22.63,-53.44,T,180.00
R4,43.23,-22.32,T,180.00
R4,63.83,-22.32,T,180.00
R5,43.58,-44.25,T,270.00
R5,22.98,-44.25,T,270.00
R5,43.58,-13.13,T,270.00
R5,22.98,-28.69,T,270.00
R5,64.18,-44.25,T,270.00
R5,64.18,-28.69,T,270.00
R5,64.18,-13.13,T,270.00
R5,22.98,-13.13,T,270.00
R5,43.58,-28.69,T,270.00
R6,64.18,-46.23,T,90.00
R6,22.98,-46.23,T,90.00
R6,22.98,-15.12,T,90.00
R6,43.58,-30.68,T,90.00
R6,64.18,-30.68,T,90.00
R6,22.98,-30.68,T,90.00
R6,43.58,-15.12,T,90.00
R6,43.58,-46.23,T,90.00
R6,64.18,-15.12,T,90.00
R7,43.23,-24.82,T,180.00
R7,43.23,-55.94,T,180.00
R7,63.83,-24.82,T,180.00
R7,63.83,-55.94,T,180.00
R7,22.63,-40.38,T,180.00
R7,43.23,-40.38,T,180.00
R7,22.63,-24.82,T,180.00
R7,22.63,-55.94,T,180.00
R7,63.83,-40.38,T,180.00
R9,15.45,-23.44,T,270.00
R9,36.05,-39.00,T,270.00
R9,56.65,-23.44,T,270.00
R9,15.45,-39.00,T,270.00
R9,56.65,-54.56,T,270.00
R9,36.05,-54.56,T,270.00
R9,15.45,-54.56,T,270.00
R9,56.65,-39.00,T,270.00
R9,36.05,-23.44,T,270.00
R10,37.33,-54.56,T,270.00
R10,57.93,-23.44,T,270.00
